Latitude,Longitude,Speed,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
40.230163,29.009147,1.02,-0.56,-1.99,10.19,0.01,-0.01,-0.01
40.230163,29.009147,1.02,-0.61,-2.35,9.97,0.0,-0.01,-0.03
40.230075,29.009151,16.91,-0.87,-1.83,9.84,0.02,-0.0,-0.01
40.230026,29.009151,22.0,-0.73,-2.03,10.29,-0.01,-0.02,-0.02
40.230026,29.009151,22.0,-0.98,-1.44,10.63,-0.03,0.05,-0.02
40.230026,29.009151,22.0,-1.2,-2.22,9.36,0.0,0.04,-0.01
40.230026,29.009151,22.0,-0.23,-2.49,7.72,0.01,-0.01,-0.02
40.230026,29.009151,22.0,-0.05,-2.65,7.69,0.08,-0.02,-0.0
40.230026,29.009151,22.0,-1.03,-1.46,10.76,0.02,-0.0,-0.03
40.229961,29.009153,26.58,-0.82,-1.41,11.41,-0.02,-0.02,-0.01
40.229961,29.009153,26.58,-0.68,-1.94,11.18,-0.01,0.01,-0.01
40.229961,29.009153,26.58,-1.24,-1.46,10.69,-0.01,0.04,-0.02
40.229961,29.009153,26.58,-0.72,-2.38,8.61,0.05,-0.02,-0.01
40.229961,29.009153,26.58,-0.69,-1.43,11.19,-0.03,0.01,-0.01
40.229961,29.009153,26.58,-0.34,-1.96,12.29,0.01,-0.06,-0.01
40.229961,29.009153,26.58,0.2,-1.95,10.59,0.02,-0.04,0.01
40.229961,29.009153,26.58,-0.05,-2.02,10.12,-0.01,-0.03,0.01
40.229961,29.009153,26.58,0.16,-1.77,9.86,0.06,-0.03,0.01
40.229961,29.009153,26.58,-0.86,-1.1,11.32,-0.01,0.0,0.01
40.229961,29.009153,26.58,-0.01,-1.62,10.13,-0.01,-0.03,0.0
40.229961,29.009153,26.58,-1.46,-2.07,9.03,-0.04,0.01,-0.01
40.229961,29.009153,26.58,-0.77,-2.5,9.49,0.05,-0.02,-0.02
40.229961,29.009153,26.58,-0.97,-1.74,10.59,-0.0,0.0,-0.02
40.229961,29.009153,26.58,-0.44,-1.66,11.06,0.05,0.0,-0.01
40.229961,29.009153,26.58,-1.2,-1.69,8.74,0.01,0.03,0.0
40.229961,29.009153,26.58,-1.09,-1.51,9.75,-0.02,0.01,-0.01
40.229961,29.009153,26.58,-0.83,-1.34,8.9,-0.01,0.02,-0.01
40.229961,29.009153,26.58,-0.82,-2.06,8.44,0.0,0.01,0.01
40.229961,29.009153,26.58,-0.78,-2.11,8.3,0.01,0.03,0.0
40.229961,29.009153,26.58,-0.27,-1.31,10.46,0.04,-0.02,-0.02
40.229961,29.009153,26.58,-1.25,-1.77,10.67,-0.02,0.04,0.0
40.229961,29.009153,26.58,-0.3,-2.18,9.22,0.01,-0.06,-0.02
40.229961,29.009153,26.58,-0.92,-1.99,8.54,0.08,-0.01,-0.01
40.229961,29.009153,26.58,-0.57,-1.81,9.87,-0.01,-0.04,-0.0
40.229701,29.009155,39.73,-1.2,-1.35,9.68,-0.01,0.04,-0.01
40.229701,29.009155,39.73,-0.57,-2.2,7.59,0.05,-0.0,-0.01
40.229701,29.009155,39.73,-0.91,-1.08,8.54,0.0,-0.0,-0.0
40.229701,29.009155,39.73,0.05,-1.56,10.52,0.01,-0.01,-0.01
40.229701,29.009155,39.73,-0.81,-1.45,10.58,-0.01,0.03,-0.01
40.229598,29.009155,43.39,-0.76,-1.68,10.5,0.02,0.03,-0.03
40.229598,29.009155,43.39,-0.74,-1.0,11.79,-0.03,0.03,0.0
40.229598,29.009155,43.39,-1.02,-1.72,10.38,-0.02,0.03,-0.01
40.229598,29.009155,43.39,-0.82,-2.24,9.63,0.01,-0.0,-0.01
40.229598,29.009155,43.39,-0.24,-1.23,10.31,-0.01,-0.03,-0.0
40.229598,29.009155,43.39,-0.68,-1.54,9.65,0.04,0.01,-0.0
